from,to,original_distance,adjusted_distance
都庁前,新宿西口,0.5,0.6666666666666666
新宿西口,東新宿,1.3,1.7333333333333334
東新宿,若松河田,1.0,1.3333333333333333
若松河田,牛込柳町,0.8,1.0666666666666667
牛込柳町,牛込神楽坂,0.9,1.2
牛込神楽坂,飯田橋,0.8,1.0666666666666667
飯田橋,春日,1.4,1.8666666666666665
春日,本郷三丁目,0.7,0.9333333333333332
本郷三丁目,上野御徒町,1.3,1.7333333333333334
上野御徒町,新御徒町,0.6,0.7999999999999999
新御徒町,蔵前,0.9,1.2
蔵前,両国,1.1,1.4666666666666668
両国,森下,0.9,1.2
森下,清澄白河,0.8,1.0666666666666667
清澄白河,門前仲町,1.0,1.3333333333333333
門前仲町,月島,1.2,1.5999999999999999
月島,勝どき,1.0,1.3333333333333333
勝どき,築地市場,1.1,1.4666666666666668
築地市場,汐留,0.7,0.9333333333333332
汐留,大門,0.8,1.0666666666666667
大門,赤羽橋,1.2,1.5999999999999999
赤羽橋,麻布十番,0.9,1.2
麻布十番,六本木,0.9,1.2
六本木,青山一丁目,1.3,1.7333333333333334
青山一丁目,国立競技場,1.0,1.3333333333333333
国立競技場,代々木,1.2,1.5999999999999999
代々木,新宿,1.0,1.3333333333333333
新宿,都庁前,0.7,0.9333333333333332
都庁前,西新宿五丁目,0.9,1.2
西新宿五丁目,中野坂上,1.2,1.5999999999999999
中野坂上,東中野,1.0,1.3333333333333333
東中野,中井,0.9,1.2
中井,落合南長崎,1.1,1.4666666666666668
落合南長崎,新江古田,1.0,1.3333333333333333
新江古田,練馬,1.2,1.5999999999999999
練馬,豊島園,0.9,1.2
豊島園,練馬春日町,1.0,1.3333333333333333
練馬春日町,光が丘,1.3,1.7333333333333334
